pH,EC,OC,OM,N,P,K,Zn,Fe,Cu,Mn,Sand,Silt,Clay,CaCO3,CEC,Output
9.32,0.51,0.13,0.22,180,9.3,127,0.1,4.2,0.54,1.8,80.2,10.2,9.6,4.69,3.88,Fertile
7.07,0.27,0.13,0.22,154,20.2,122,0.1,7.4,0.52,2.8,85.2,6.1,8.7,10.25,7.97,Fertile
8.37,0.72,0.13,0.22,130,12.84,420,0.09,3.2,0.49,6.4,80.4,7,12.6,4.94,9.61,Fertile
8.72,0.38,0.14,0.24,173,9.4,108,0.27,3.2,0.17,0.2,93.7,4.3,2,0,3.53,Non Fertile
8.29,0.12,0.14,0.24,178,5.2,130,0.23,4.4,0.4,2.2,85.2,9.5,5.3,0,1.22,Non Fertile
8.34,0.64,0.15,0.25,166,12.61,246,0.07,3.9,0.02,1.9,82.7,7.5,9.8,7.42,4.56,Fertile
9.02,0.42,0.15,0.25,164,19.9,318,0.39,7.6,0.5,1.9,80.3,9.6,10.1,4.73,7.46,Fertile
8.21,0.22,0.15,0.25,172,15,252,0.29,2.4,0.12,2.4,90.3,4.2,5.5,10.05,7.36,Non Fertile
8.93,0.13,0.15,0.25,180,30,204,0.53,4.3,0.4,7.5,81.2,7.5,11.3,3.64,4.88,Fertile
7.82,0.04,0.16,0.27,174,4.2,86,0.62,4.4,0.24,0.7,94,1.3,4.7,0,1.2,Non Fertile
8.28,0.13,0.16,0.27,181,3.5,187,0.44,3.8,0.21,2.5,95.6,2.1,2.3,0,6.41,Non Fertile
7.94,0.09,0.16,0.27,178,7,248,0.5,3.4,0.32,3.2,89.7,4.5,5.8,0,2.5,Non Fertile
8.52,0.15,0.17,0.29,182,20.8,127,0.35,4.8,0.33,0.7,96.2,1.1,2.7,4.5,7.36,Non Fertile
9.21,0.22,0.17,0.29,158,34.5,118,0.42,5.7,0.44,1.9,81.2,11.2,7.6,10.52,6.5,Fertile
8.73,0.08,0.18,0.31,191,8.4,172,0.32,4.2,0.38,1.3,89.2,4.5,6.3,6.9,3.87,Non Fertile
8.8,0.15,0.18,0.31,200,4,165,0.56,6.3,0.71,4.2,90.5,2.9,6.6,7.45,5.64,Fertile
6.92,0.75,0.18,0.31,116,4.6,380,0.44,5.9,0.06,4.2,79.2,9,11.8,2.38,3.29,Fertile
8.62,0.14,0.2,0.34,220,16.2,180,0.12,4,0.23,0.9,88.3,5.1,6.6,5.02,6.95,Fertile
8.06,0.17,0.2,0.34,188,18.7,416,0.25,4.8,0.29,1.6,84.3,9.5,6.2,0,6.1,Non Fertile
8.08,0.08,0.2,0.34,180,3.6,131,0.58,4.2,0.11,4.2,94.4,1.4,4.2,0,1.7,Non Fertile
9.23,0.17,0.2,0.34,215,9,158,0.2,2.7,0.21,4.3,86.7,5.1,8.2,3.48,5.67,Fertile
8.17,0.18,0.21,0.36,108,9,142,0.69,4,0.29,1.9,90.6,3.7,5.7,2.23,3.78,Non Fertile
7.48,0.13,0.21,0.36,195,12,187,0.26,6.2,0.34,2.3,90.1,4.6,5.3,6.38,2.84,Non Fertile
7.61,0.31,0.21,0.36,218,18.5,132,0.26,3.5,0.11,3.2,90.4,4.3,5.3,8.5,1.42,Non Fertile
9.19,0.19,0.21,0.36,198,27.9,140,0.82,2.7,0.38,3.6,90,2.4,7.6,3.12,4.75,Fertile
8.64,0.1,0.23,0.39,205,20.6,166,0.68,2.1,0.39,3.4,89,1.5,9.5,12.7,8.66,Fertile
8.11,0.27,0.23,0.39,217,8,145,0.27,3.7,0.28,3.6,85.5,7.2,7.3,0,3.24,Non Fertile
8.23,0.09,0.23,0.39,214,4.4,164,0.42,4.1,0.22,3.8,86.2,7.8,6,0,3.42,Non Fertile
8.25,0.34,0.24,0.41,218,6.7,334,0.41,3.1,0.19,3.6,88.6,7.1,4.3,2.48,6.28,Non Fertile
8.4,0.35,0.24,0.41,220,18.3,320,0.74,2.1,0.37,3.7,90.2,3.4,6.4,6.28,3.78,Fertile
8.5,0.16,0.24,0.41,205,20.5,387,0.67,4.6,0.28,5.2,77.2,17,5.8,12.8,4.87,Fertile
8.47,0.19,0.27,0.46,225,17.3,212,0.53,8.3,0.04,3.1,82.1,7.9,10,3.7,5.09,Fertile
8.2,0.1,0.28,0.48,231,2.7,145,0.34,3.2,0.3,1.6,94.5,1.2,4.3,0,2.1,Non Fertile
8.64,0.15,0.3,0.51,242,1.8,197,0.25,3.1,0.12,0.2,91.2,3.7,5.1,1.25,2.28,Non Fertile
8.48,0.08,0.3,0.51,235,2.8,142,0.39,2.6,0.27,2.1,89.8,4.5,5.7,8.32,1.78,Non Fertile
8.2,0.12,0.31,0.53,265,8.7,107,1.13,8.2,0.23,6,86.2,4.5,9.3,8.47,4.46,Fertile
8.42,0.74,0.34,0.58,218,33.7,198,1.16,4.2,0.53,3.3,80.7,5.7,13.6,8.21,6.02,Fertile
8.61,0.18,0.36,0.62,274,9.2,225,0.58,4.3,0.28,2.1,96.1,1.9,2,3.02,7.09,Non Fertile
9.48,0.13,0.38,0.65,270,7.5,186,0.8,2.4,0.61,0.4,77.4,15.5,7.1,4.64,4.85,Fertile
8.54,0.22,0.41,0.7,267,8.6,305,0.46,8.4,0.65,2.4,77.5,16,6.5,3.64,7.59,Fertile
7.45,0.28,0.41,0.7,268,8.2,226,0.84,4.6,0.26,7.4,81.2,10.2,8.6,1.28,12.31,Fertile
9.2,0.22,0.42,0.72,276,12.8,128,0.59,9.1,0.32,2.7,79,9.2,11.8,2.51,3.69,Fertile
8.7,0.28,0.45,0.77,276,10.2,286,0.22,2.6,0.09,3.2,79.5,9.2,11.3,4.57,6.81,Fertile
8.76,0.16,0.45,0.77,276,8.5,480,0.51,6.6,0.51,4.4,77.3,18,4.7,4.76,9.03,Fertile
7.42,0.66,0.45,0.77,275,3,269,0.9,6.9,0.73,4.6,85.2,5.8,9,1.04,8.9,Fertile
8.29,0.36,0.45,0.77,258,19.7,268,0.31,6.3,0.52,5.7,85.7,5.2,9.1,7.48,16.27,Fertile
8.42,0.74,0.46,0.79,274,3.7,317,0.98,1.9,0.14,2.1,88.3,6.1,5.6,5.23,10.94,Fertile
8.93,0.13,0.52,0.89,278,24,218,0.83,7.3,0.66,5.5,80.4,8.2,11.4,2.92,6.84,Fertile
8.11,0.34,0.53,0.91,201,17.2,248,0.38,5.2,0.33,1.7,79.8,9.9,10.3,3.45,6.27,Fertile
9.21,0.14,0.62,1.06,278,9.8,165,0.18,8.6,0.57,5.8,88.2,2.4,9.4,4.23,8.81,Fertile
7.5,0.22,0.68,1.17,272,9.5,139,0.72,2.6,0.12,1.8,95.4,1.4,3.2,0,5.58,Non Fertile
8.26,0.25,0.71,1.22,277,11.5,264,0.36,7.6,0.07,0.8,90.7,2.5,6.8,3.85,7.26,Fertile
8.12,0.14,0.73,1.25,265,4.6,283,0.38,3.7,0.18,0.8,86,6.7,7.3,0,3.1,Non Fertile
7.31,0.46,0.74,1.27,277,32.4,241,0.27,8.2,0.23,4.2,80.5,6.8,12.7,4.86,6.51,Fertile
